Feature,Importance
Iglc2_56362,4.2741806e-09
Knl1_69014,3.5985668e-09
Chpt1_73742,3.4818497e-09
Ccl3_30767,2.9847087e-09
Txnrd1_72590,2.4888207e-09
Nkain4_74119,2.4547997e-09
Zfp992_80059,2.4273845e-09
Syce2_75594,1.4756781e-09
Slf1_71972,1.357376e-09
Egr1_30209,1.2922375e-09
Mcoln3_57792,1.2817979e-09
Tnfrsf12a_60668,1.0271399e-09
Spp1_63793,1.0046762e-09
Fosb_75538,9.803651e-10
Mllt3_64358,9.765954e-10
Inip_82129,9.2562197e-10
Sh3gl2_31946,9.1448926e-10
Saa3_70560,9.014873e-10
Spp1_63768,8.8417285e-10
P2ry10b_76313,8.5672536e-10
Ms4a6b_55953,5.2816707e-10
Trdmt1_72939,5.265427e-10
Siglecf_71530,4.4611423e-10
Pkhd1l1_58076,3.0866512e-10
Fam241b_53836,2.599545e-10
Myrf_65894,2.5872146e-10
Praf2_31312,2.3379634e-10
Ube3a_65027,2.22114e-10
Manea_77830,1.8110702e-10
Rfesd_55124,1.4036013e-10
Myh6_65230,1.317339e-10
Ptpn1_29137,9.3564066e-11
Tlr8_74724,7.826843e-11
Zfp949_73420,7.625349e-11
Selenot_65863,7.4300545e-11
Slc6a15_31138,6.211724e-11
Plaur_63645,5.9458515e-11
Hspa1a_69206,5.880579e-11
mt-Nd4l_82096,5.4353945e-11
Gap43_70845,5.0846022e-11
Ifit1bl1_54956,0.0
Ifit3_29860,0.0
Ift43_67275,0.0
Lrif1_65652,0.0
Lsamp_31051,0.0
March3_58049,0.0
Zfp977_55962,0.0
Lgals2_59528,0.0
Klre1_58825,0.0
Zeb1_66163,0.0
Zfp758_70179,0.0
Zfp52_62706,0.0
Zfp39_58512,0.0
Zfp820_56096,0.0
Upk1b_58678,0.0
Ubxn2b_58845,0.0
Txnrd1_31483,0.0
Mme_70214,0.0
Lgr4_56873,0.0
Iglc3_31393,0.0
Il6_60343,0.0
Kat6a_29325,0.0
Ngb_29648,0.0
Nde1_77231,0.0
Myl4_70627,0.0
Nrap_31919,0.0
Nt5c_33336,0.0
Nrg1_74185,0.0
P2ry10b_63457,0.0
Gclm_29258,0.0
Sema3c_68751,0.0
Rraga_80101,0.0
S100a8_71339,0.0
Rps26_78862,0.0
Rb1cc1_65517,0.0
Rab22a_53860,0.0
Ppfibp1_75630,0.0
Ppp4r3b_79887,0.0
Gm13212_64546,0.0
Paxbp1_76157,0.0
Ggnbp1_79223,0.0
Slitrk6_57432,0.0
