Feature,Importance
Arntl_59197,0.0007857449
Cdon_64083,0.00077688816
Socs3_79479,0.00072751835
Alg11_64834,0.0007160951
Gpx1_30525,0.0006457212
Ankrd1_58025,0.000595277
Entpd8_29407,0.00058086886
Lmod2_64472,0.0005697055
Docosane,0.0005365188
Lhfpl2_60768,0.00051225815
Ifit1bl1_54956,0.00050477235
Igkv6-15_64030,0.0005017669
Egr1_58083,0.000495788
Hebp2_68529,0.0004413637
2310061I04Rik_71692,0.00041714372
Stab1_67351,0.00039114617
Bnc1_57800,0.00038768686
Abcg2_77190,0.00038091722
Actn2_32214,0.0003461771
Eicosane,0.00033598175
Kdm6a_65647,0.00031644516
Ethylguaiacol,0.0002947461
Atp6v0d2_76694,0.0002913558
Gsta1_31374,0.00029103894
Stx11_67128,0.00028277116
Srxn1_30173,0.00028192264
Slc6a15_31138,0.00028184318
Nqo1_29503,0.0002707171
Pigr_58167,0.00026794002
Sh2d1b1_55581,0.00026733018
Nrg1_67125,0.00025930244
Acenaphthylene,0.00025685746
Abtb2_59723,0.00025546466
Bcl3_75627,0.0002503941
Igkv16-104_74538,0.00024962294
Hsph1_73551,0.00023754561
Chrm2_55332,0.00023450267
9930111J21Rik1_66397,0.00022909632
Noct_77181,0.00022698099
Fosb_75538,0.00022455915
Myc_66507,0.00021837356
Gm3604_56243,0.00019369283
Tnip1_29881,0.0001916908
Adam33_72301,0.0001857192
Zmiz2_62411,0.00018491995
Gja1_75237,0.00017874446
B3gnt2_60493,0.00017864286
Myl3_75394,0.00017553559
Slc2a4_76116,0.00016775358
Naphthalene,0.00015872618
Rsph3b_31489,0.0001537441
Acta1_74234,0.0001537068
Chil3_66072,0.0001368517
Nr4a1_74357,0.0001324164
Il4i1_71608,0.00012765538
Zfp672_67722,0.00012715021
Zfp280b_78252,0.00012536738
Arhgap40_61637,0.000116116615
Sema7a_72108,0.00011222525
2010309G21Rik_29518,0.00010926396
Btnl9_55542,0.00010896907
Methoxymethyl phenol,0.00010667561
Csrnp1_69505,0.00010646488
Abcc4_30363,9.690033e-05
3110001I22Rik_68551,9.6234144e-05
Cdkn2a_67661,8.9810834e-05
Ccl7_30624,8.0781756e-05
Ccl17_77970,7.059051e-05
Wnt2b_62005,6.282997e-05
Il4i1_31821,5.94106e-05
Slc35f3_61620,5.7497433e-05
Ifit3_29860,5.5877546e-05
Lsamp_31051,5.4874967e-05
Islr_61666,5.4804997e-05
Fscn1_74998,4.9437596e-05
Hmox1_31505,4.8898928e-05
Ate1_68840,4.488636e-05
Aldh3a1_60545,4.401071e-05
Gm13889_55024,4.090154e-05
Adgrd1_56894,4.005931e-05
Tmem161a_67011,3.458549e-05
Cdkn1a_66319,3.281413e-05
5430427O19Rik_60267,3.1644548e-05
Fluoranthene,3.050267e-05
Pkhd1l1_58076,2.9344379e-05
Arf1_31811,2.7531833e-05
Hif3a_63907,2.7317043e-05
Car3_29855,2.4847463e-05
Acyp1_74193,2.3548635e-05
Alox15_61552,2.1356293e-05
Clhc1_59972,2.0993233e-05
Spp1_63768,1.9891651e-05
Plscr4_55764,1.8889988e-05
Mt2_76492,1.8827697e-05
Spib_29254,1.8371335e-05
Siglecf_71530,1.7316092e-05
AI661384_31503,1.6229384e-05
Kbtbd7_76521,1.23431755e-05
Ly75_62085,1.1890355e-05
Ephb6_66860,1.1483832e-05
D630045J12Rik_62087,1.06797825e-05
Nde1_77231,1.04509e-05
Praf2_31312,8.582984e-06
Saa3_70560,8.332282e-06
Benz(a)anthracene,8.248305e-06
Zfp975_78027,8.247525e-06
Ptpn1_29137,8.048128e-06
Gm43302_29203,8.017119e-06
Cldn15_60727,7.773345e-06
Tm2d2_70064,7.2203184e-06
Cpt1b_31741,6.794618e-06
Tfec_66160,6.3085727e-06
Syt14_59917,5.176739e-06
Cxcl1_29501,5.1375646e-06
Rpl3l_76369,5.1249312e-06
Wnt7a_61150,4.8449097e-06
C2_73108,4.52564e-06
Atf2_65871,4.34367e-06
Iqcb1_56811,4.1347216e-06
Ggnbp1_79223,4.0389436e-06
Chpt1_78785,4.012037e-06
Atf3_72119,3.8974767e-06
Tbc1d7_65739,3.7615637e-06
Chrysene,3.7135856e-06
Idi1_63868,3.6149038e-06
Folr2_70164,3.36549e-06
P2ry10b_76313,3.1260988e-06
Fam69a_64595,3.1050752e-06
Dnajc6_77826,3.040105e-06
Cenpw_64386,2.826591e-06
Mt1_76728,2.5253999e-06
Ckmt2_30858,2.3615619e-06
Isoeugenol,2.337597e-06
Methylfluorene,2.1766364e-06
Kcnj5_59968,2.107376e-06
Fpr1_72651,1.8675454e-06
Slitrk6_57432,1.8236767e-06
Snrpd1_63068,1.810459e-06
C2_63618,1.7828239e-06
Umad1_66790,1.7244148e-06
Hspa1a_69206,1.631777e-06
Ccl3_30767,1.4126925e-06
Siglec1_74052,1.096383e-06
Gdpd2_59601,1.0938124e-06
Gdnf_74188,1.0832867e-06
Marco_61146,1.0540521e-06
Rraga_80101,9.820669e-07
Fpr1_30738,9.343015e-07
Cacng7_59342,9.311258e-07
Galnt17_63802,9.2595684e-07
Dusp11_79084,8.471081e-07
Eef1a2_67152,8.2698676e-07
Il1f9_29621,6.0404807e-07
Sh3gl2_31946,4.797324e-07
Cebpd_68861,4.4202488e-07
Cyp1a1_29719,4.079218e-07
Bhlhe41_56554,3.8822398e-07
Zfp990_67367,3.6450575e-07
Art5_55361,3.6155976e-07
Lmo7_70010,3.4204805e-07
Zfp943_68358,3.3206234e-07
Lvrn_57576,2.8272845e-07
Srxn1_75314,2.7397132e-07
Plaur_63645,2.0931036e-07
Cxcl2_63751,1.4498225e-07
