Iteration,RMSE,Complexity,Equation
2528,19.07199761730694,13,PySRFunction(X=>PC_2*(-0.23810206 - (-3.6985261)*1.2234068/PC_3) - 1*(-84.248474))
2528,19.071997635406717,15,PySRFunction(X=>PC_2*(20.055723 - (-1*(-20.293839) - 4.5246296/PC_3)) - 1*(-23.106659) + 61.14146)
2528,17.32387293562783,16,PySRFunction(X=>PC_2/(-3.6380496) - 1*(-38.64723) - 1*(-44.36505) + (PC_1 - 50.65155)/PC_4)
2528,16.813479581248085,18,PySRFunction(X=>-(PC_2 + 5.756169*(50.63214 - PC_1)/PC_4)/3.6355522 - 1*3.3238156 + 86.128)
2528,16.549272036335783,20,PySRFunction(X=>(PC_2 + (-0.080605075 - 5.7480445/PC_4)*(PC_1 - 50.617302))*(-0.27538005) - 1*3.7320654 + 86.54624)
2529,22.623603969998108,1,PySRFunction(X=>83.5892400000000)
2529,22.623604004698002,3,PySRFunction(X=>40.222134 - 1*(-43.36587))
2529,20.240492145920484,6,PySRFunction(X=>PC_2*(-0.24665196) - 1*(-83.589294))
2529,20.231260390043133,9,PySRFunction(X=>(PC_2 + PC_4)/(-4.902302) + 83.58915)
2529,19.112611171593038,11,PySRFunction(X=>PC_2*(-0.23810206 - (-1)*3.6985261/PC_3) - 1*(-84.248474))
2529,19.07199761730694,13,PySRFunction(X=>PC_2*(-0.23810206 - (-3.6985261)*1.2234068/PC_3) - 1*(-84.248474))
2529,19.071997635406717,15,PySRFunction(X=>PC_2*(20.055723 - (-1*(-20.293839) - 4.5246296/PC_3)) - 1*(-23.106659) + 61.14146)
2529,17.32387293562783,16,PySRFunction(X=>PC_2/(-3.6380496) - 1*(-38.64723) - 1*(-44.36505) + (PC_1 - 50.65155)/PC_4)
2529,16.813479581248085,18,PySRFunction(X=>-(PC_2 + 5.756169*(50.63214 - PC_1)/PC_4)/3.6355522 - 1*3.3238156 + 86.128)
2529,16.549272036335783,20,PySRFunction(X=>(PC_2 + (-0.080605075 - 5.7480445/PC_4)*(PC_1 - 50.617302))*(-0.27538005) - 1*3.7320654 + 86.54624)
2530,22.623603969998108,1,PySRFunction(X=>83.5892400000000)
2530,22.623604004698002,3,PySRFunction(X=>40.222134 - 1*(-43.36587))
2530,20.240492145920484,6,PySRFunction(X=>PC_2*(-0.24665196) - 1*(-83.589294))
2530,20.231260390043133,9,PySRFunction(X=>(PC_2 + PC_4)/(-4.902302) + 83.58915)
2530,19.112611171593038,11,PySRFunction(X=>PC_2*(-0.23810206 - (-1)*3.6985261/PC_3) - 1*(-84.248474))
2530,19.07199761730694,13,PySRFunction(X=>PC_2*(-0.23810206 - (-3.6985261)*1.2234068/PC_3) - 1*(-84.248474))
2530,19.071997635406717,15,PySRFunction(X=>PC_2*(20.055723 - (-1*(-20.293839) - 4.5246296/PC_3)) - 1*(-23.106659) + 61.14146)
2530,17.32387293562783,16,PySRFunction(X=>PC_2/(-3.6380496) - 1*(-38.64723) - 1*(-44.36505) + (PC_1 - 50.65155)/PC_4)
2530,16.813479581248085,18,PySRFunction(X=>-(PC_2 + 5.756169*(50.63214 - PC_1)/PC_4)/3.6355522 - 1*3.3238156 + 86.128)
2530,16.549272036335783,20,PySRFunction(X=>(PC_2 + (-0.080605075 - 5.7480445/PC_4)*(PC_1 - 50.617302))*(-0.27538005) - 1*3.7320654 + 86.54624)
2531,22.623603969998108,1,PySRFunction(X=>83.5892400000000)
2531,22.623604004698002,3,PySRFunction(X=>40.222134 - 1*(-43.36587))
2531,20.240492145920484,6,PySRFunction(X=>PC_2*(-0.24665196) - 1*(-83.589294))
2531,20.231260390043133,9,PySRFunction(X=>(PC_2 + PC_4)/(-4.902302) + 83.58915)
2531,19.112611171593038,11,PySRFunction(X=>PC_2*(-0.23810206 - (-1)*3.6985261/PC_3) - 1*(-84.248474))
2531,19.07199761730694,13,PySRFunction(X=>PC_2*(-0.23810206 - (-3.6985261)*1.2234068/PC_3) - 1*(-84.248474))
2531,19.071997635406717,15,PySRFunction(X=>PC_2*(20.055723 - (-1*(-20.293839) - 4.5246296/PC_3)) - 1*(-23.106659) + 61.14146)
2531,17.32387293562783,16,PySRFunction(X=>PC_2/(-3.6380496) - 1*(-38.64723) - 1*(-44.36505) + (PC_1 - 50.65155)/PC_4)
2531,16.813479581248085,18,PySRFunction(X=>-(PC_2 + 5.756169*(50.63214 - PC_1)/PC_4)/3.6355522 - 1*3.3238156 + 86.128)
2531,16.549272036335783,20,PySRFunction(X=>(PC_2 + (-0.080605075 - 5.7480445/PC_4)*(PC_1 - 50.617302))*(-0.27538005) - 1*3.7320654 + 86.54624)
2532,22.623603969998108,1,PySRFunction(X=>83.5892400000000)
2532,22.623604004698002,3,PySRFunction(X=>40.222134 - 1*(-43.36587))
2532,20.240492145920484,6,PySRFunction(X=>PC_2*(-0.24665196) - 1*(-83.589294))
2532,20.231260390043133,9,PySRFunction(X=>(PC_2 + PC_4)/(-4.902302) + 83.58915)
2532,19.112611171593038,11,PySRFunction(X=>PC_2*(-0.23810206 - (-1)*3.6985261/PC_3) - 1*(-84.248474))
2532,19.07199761730694,13,PySRFunction(X=>PC_2*(-0.23810206 - (-3.6985261)*1.2234068/PC_3) - 1*(-84.248474))
2532,19.071997635406717,15,PySRFunction(X=>PC_2*(20.055723 - (-1*(-20.293839) - 4.5246296/PC_3)) - 1*(-23.106659) + 61.14146)
2532,17.32387293562783,16,PySRFunction(X=>PC_2/(-3.6380496) - 1*(-38.64723) - 1*(-44.36505) + (PC_1 - 50.65155)/PC_4)
2532,16.813479581248085,18,PySRFunction(X=>-(PC_2 + 5.756169*(50.63214 - PC_1)/PC_4)/3.6355522 - 1*3.3238156 + 86.128)
2532,16.549272036335783,20,PySRFunction(X=>(PC_2 + (-0.080605075 - 5.7480445/PC_4)*(PC_1 - 50.617302))*(-0.27538005) - 1*3.7320654 + 86.54624)
2533,22.623603969998108,1,PySRFunction(X=>83.5892400000000)
2533,22.623604004698002,3,PySRFunction(X=>40.222134 - 1*(-43.36587))
2533,20.240492145920484,6,PySRFunction(X=>PC_2*(-0.24665196) - 1*(-83.589294))
2533,20.231260390043133,9,PySRFunction(X=>(PC_2 + PC_4)/(-4.902302) + 83.58915)
2533,19.112611171593038,11,PySRFunction(X=>PC_2*(-0.23810206 - (-1)*3.6985261/PC_3) - 1*(-84.248474))
2533,19.07199761730694,13,PySRFunction(X=>PC_2*(-0.23810206 - (-3.6985261)*1.2234068/PC_3) - 1*(-84.248474))
2533,19.071997635406717,15,PySRFunction(X=>PC_2*(20.055723 - (-1*(-20.293839) - 4.5246296/PC_3)) - 1*(-23.106659) + 61.14146)
2533,17.32387293562783,16,PySRFunction(X=>PC_2/(-3.6380496) - 1*(-38.64723) - 1*(-44.36505) + (PC_1 - 50.65155)/PC_4)
2533,16.813479581248085,18,PySRFunction(X=>-(PC_2 + 5.756169*(50.63214 - PC_1)/PC_4)/3.6355522 - 1*3.3238156 + 86.128)
2533,16.549272036335783,20,PySRFunction(X=>(PC_2 + (-0.080605075 - 5.7480445/PC_4)*(PC_1 - 50.617302))*(-0.27538005) - 1*3.7320654 + 86.54624)
2534,22.623603969998108,1,PySRFunction(X=>83.5892400000000)
2534,22.623604004698002,3,PySRFunction(X=>40.222134 - 1*(-43.36587))
2534,20.240492145920484,6,PySRFunction(X=>PC_2*(-0.24665196) - 1*(-83.589294))
2534,20.231260390043133,9,PySRFunction(X=>(PC_2 + PC_4)/(-4.902302) + 83.58915)
2534,19.112611171593038,11,PySRFunction(X=>PC_2*(-0.23810206 - (-1)*3.6985261/PC_3) - 1*(-84.248474))
2534,19.07199761730694,13,PySRFunction(X=>PC_2*(-0.23810206 - (-3.6985261)*1.2234068/PC_3) - 1*(-84.248474))
2534,19.071997635406717,15,PySRFunction(X=>PC_2*(20.055723 - (-1*(-20.293839) - 4.5246296/PC_3)) - 1*(-23.106659) + 61.14146)
2534,17.32387293562783,16,PySRFunction(X=>PC_2/(-3.6380496) - 1*(-38.64723) - 1*(-44.36505) + (PC_1 - 50.65155)/PC_4)
2534,16.813479581248085,18,PySRFunction(X=>-(PC_2 + 5.756169*(50.63214 - PC_1)/PC_4)/3.6355522 - 1*3.3238156 + 86.128)
2534,16.549272036335783,20,PySRFunction(X=>(PC_2 + (-0.080605075 - 5.7480445/PC_4)*(PC_1 - 50.617302))*(-0.27538005) - 1*3.7320654 + 86.54624)
2535,22.623603969998108,1,PySRFunction(X=>83.5892400000000)
2535,22.623604004698002,3,PySRFunction(X=>40.222134 - 1*(-43.36587))
2535,20.240492145920484,6,PySRFunction(X=>PC_2*(-0.24665196) - 1*(-83.589294))
2535,20.231260390043133,9,PySRFunction(X=>(PC_2 + PC_4)/(-4.902302) + 83.58915)
2535,19.112611171593038,11,PySRFunction(X=>PC_2*(-0.23810206 - (-1)*3.6985261/PC_3) - 1*(-84.248474))
2535,19.07199761730694,13,PySRFunction(X=>PC_2*(-0.23810206 - (-3.6985261)*1.2234068/PC_3) - 1*(-84.248474))
2535,19.071997635406717,15,PySRFunction(X=>PC_2*(20.055723 - (-1*(-20.293839) - 4.5246296/PC_3)) - 1*(-23.106659) + 61.14146)
2535,17.32387293562783,16,PySRFunction(X=>PC_2/(-3.6380496) - 1*(-38.64723) - 1*(-44.36505) + (PC_1 - 50.65155)/PC_4)
2535,16.813479581248085,18,PySRFunction(X=>-(PC_2 + 5.756169*(50.63214 - PC_1)/PC_4)/3.6355522 - 1*3.3238156 + 86.128)
2535,16.549272036335783,20,PySRFunction(X=>(PC_2 + (-0.080605075 - 5.7480445/PC_4)*(PC_1 - 50.617302))*(-0.27538005) - 1*3.7320654 + 86.54624)
2536,22.623603969998108,1,PySRFunction(X=>83.5892400000000)
2536,22.623604004698002,3,PySRFunction(X=>40.222134 - 1*(-43.36587))
2536,20.240492145920484,6,PySRFunction(X=>PC_2*(-0.24665196) - 1*(-83.589294))
2536,20.231260390043133,9,PySRFunction(X=>(PC_2 + PC_4)/(-4.902302) + 83.58915)
2536,19.112611171593038,11,PySRFunction(X=>PC_2*(-0.23810206 - (-1)*3.6985261/PC_3) - 1*(-84.248474))
2536,19.07199761730694,13,PySRFunction(X=>PC_2*(-0.23810206 - (-3.6985261)*1.2234068/PC_3) - 1*(-84.248474))
2536,19.071997635406717,15,PySRFunction(X=>PC_2*(20.055723 - (-1*(-20.293839) - 4.5246296/PC_3)) - 1*(-23.106659) + 61.14146)
2536,17.32387293562783,16,PySRFunction(X=>PC_2/(-3.6380496) - 1*(-38.64723) - 1*(-44.36505) + (PC_1 - 50.65155)/PC_4)
