Exposure_Condition,Group_Comparison,Timepoint,BioSpyder_Identifier,Gene_Symbol,Mean_Expression_Count,padj,log2FC,"Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 1.5
(i.e., log2FC of 0.5849)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2
(i.e., log2FC of 1)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2.5
(i.e., log2FC of 1.3219)?"
Flaming Pine,Flaming Pine vs. Saline,4h,Cnot7_77176,Cnot7,168.147,9.11E-02,-0.7135,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Cpsf3_80635,Cpsf3,142.971,9.77E-02,-0.6676,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Crb1_67655,Crb1,34.930,6.87E-02,-1.0759,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Csnk1g1_72572,Csnk1g1,85.392,1.01E-02,-0.7123,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Csrnp1_69505,Csrnp1,54.052,5.80E-02,1.0312,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Cul1_31957,Cul1,1420.293,2.52E-02,-0.8013,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Cyc1_55101,Cyc1,2528.705,4.51E-02,0.5886,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Cyfip2_73223,Cyfip2,39.115,8.38E-02,1.1409,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Cyp1a1_29719,Cyp1a1,73.121,2.87E-07,3.1207,Yes,Yes,Yes
Flaming Pine,Flaming Pine vs. Saline,4h,Cyp1a1_79654,Cyp1a1,94.987,7.22E-03,2.4787,Yes,Yes,Yes
Flaming Pine,Flaming Pine vs. Saline,4h,Cyp1b1_72511,Cyp1b1,72.857,7.66E-03,1.5202,Yes,Yes,Yes
Flaming Pine,Flaming Pine vs. Saline,4h,Dach1_76556,Dach1,137.455,7.02E-02,0.8860,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Dapk1_66809,Dapk1,157.675,3.59E-02,-0.6585,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ddx47_67060,Ddx47,65.035,3.90E-02,0.7615,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Dnajc13_63158,Dnajc13,126.965,6.57E-02,-0.8537,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Dnajc21_65430,Dnajc21,88.767,3.07E-02,-1.0677,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Dram2_71194,Dram2,54.727,5.60E-02,-0.9309,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Dusp14_29663,Dusp14,52.249,7.24E-02,-0.7163,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Edc3_69882,Edc3,195.176,7.02E-04,0.6785,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Eea1_75416,Eea1,500.508,4.65E-02,-0.6723,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Efcab7_72659,Efcab7,37.152,7.02E-02,-1.2048,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ehd2_70002,Ehd2,412.524,7.22E-03,0.7615,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Eif4g2_78257,Eif4g2,157.995,5.67E-02,-0.6569,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Erbb3_30519,Erbb3,125.218,2.28E-02,-0.7031,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Eri1_62265,Eri1,265.758,6.50E-02,-0.6229,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Fam13a_62520,Fam13a,256.312,5.12E-02,-0.7113,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Fam151b_54548,Fam151b,116.301,5.03E-02,-0.6436,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Fblim1_67547,Fblim1,280.706,6.24E-02,0.8084,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Fbxo36_79319,Fbxo36,76.930,5.89E-02,-0.8954,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Fbxo8_67408,Fbxo8,316.001,3.09E-02,-0.6975,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Fmnl2_58132,Fmnl2,511.749,9.70E-02,-0.6291,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Foxp1_71179,Foxp1,275.201,4.34E-02,-0.6621,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Galnt5_63601,Galnt5,77.553,6.12E-02,-1.0168,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Gchfr_54060,Gchfr,89.539,4.57E-02,0.7007,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Gclm_29258,Gclm,99.075,4.46E-02,0.6394,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Gdpd2_59601,Gdpd2,62.234,6.24E-02,-1.4099,Yes,Yes,Yes
Flaming Pine,Flaming Pine vs. Saline,4h,Gfpt1_67746,Gfpt1,289.618,6.13E-02,-0.6400,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Gm13212_64546,Gm13212,116.352,3.59E-02,-1.0414,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Gm3150_31169,Gm3150,995.097,5.99E-02,-0.7400,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Gm49369_77548,Gm49369,957.014,5.74E-02,-0.6956,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Gprc5c_67802,Gprc5c,326.289,6.47E-02,-0.7843,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Gramd1a_63402,Gramd1a,85.373,1.75E-02,0.7470,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Gusb_77601,Gusb,65.262,9.96E-02,-0.5854,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,H2-K1_70796,H2-K1,954.289,7.43E-02,1.0660,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,H2-Q10_64912,H2-Q10,48.955,7.02E-02,0.9787,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Hbegf_57532,Hbegf,324.034,5.48E-02,0.7047,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Hcn2_57591,Hcn2,56.372,6.12E-02,-1.7025,Yes,Yes,Yes
Flaming Pine,Flaming Pine vs. Saline,4h,Hdac5_75458,Hdac5,68.604,3.09E-02,-0.7566,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Hid1_65426,Hid1,258.715,5.65E-02,-0.6092,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Hipk3_59778,Hipk3,1174.356,2.28E-02,-0.6260,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Hist2h2ac_80585,Hist2h2ac,217.918,7.35E-02,0.6004,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Hmgcll1_55548,Hmgcll1,107.465,5.73E-02,-0.9263,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Hnrnpul1_78646,Hnrnpul1,400.780,7.32E-02,-0.7322,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Hspa5_29651,Hspa5,3693.839,7.11E-02,-0.6043,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Hydin_62140,Hydin,141.072,8.83E-02,-1.0568,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ifih1_66340,Ifih1,360.047,5.11E-02,-0.7729,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ifitm3_29087,Ifitm3,1082.113,7.98E-02,-0.6428,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ift46_70666,Ift46,841.012,3.09E-02,-0.8453,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ift74_71672,Ift74,270.500,4.46E-02,-0.7139,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ift88_74334,Ift88,57.829,7.93E-02,-0.7913,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Igfbp7_80197,Igfbp7,286.992,2.07E-02,0.8999,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Il1rap_53816,Il1rap,201.226,6.83E-02,-0.6211,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Irx1_68219,Irx1,87.540,8.12E-02,1.0750,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Itfg1_30888,Itfg1,854.950,7.22E-03,-0.6703,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Itpr1_66928,Itpr1,195.255,3.09E-02,-0.5884,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Itpr3_29815,Itpr3,49.003,6.83E-02,-0.8195,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Kat6a_29325,Kat6a,235.587,3.34E-02,-0.8479,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Kcnj15_77680,Kcnj15,563.379,3.50E-02,-0.8328,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Kcnk2_32066,Kcnk2,153.063,1.48E-02,-1.2739,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Kcnk2_64809,Kcnk2,130.074,7.64E-02,-1.0079,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Klf5_57694,Klf5,568.928,7.16E-02,-0.7225,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,L3mbtl2_79196,L3mbtl2,116.284,3.03E-02,-0.6059,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ldhb_71288,Ldhb,942.466,8.83E-02,-0.7727,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Lig4_58531,Lig4,80.723,8.73E-02,-0.6732,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Lima1_62298,Lima1,74.186,7.55E-02,-0.7341,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Lrrcc1_66749,Lrrcc1,199.423,5.74E-02,-0.6382,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Lsamp_31051,Lsamp,48.585,7.55E-02,2.1787,Yes,Yes,Yes
Flaming Pine,Flaming Pine vs. Saline,4h,Lta4h_64380,Lta4h,340.556,3.60E-02,-0.6596,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Lvrn_57576,Lvrn,48.191,2.17E-02,-1.6367,Yes,Yes,Yes
Flaming Pine,Flaming Pine vs. Saline,4h,Maip1_54722,Maip1,209.926,6.79E-02,-0.6540,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Map2k4_70072,Map2k4,213.633,1.34E-02,-0.9275,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mast2_66963,Mast2,479.238,3.96E-02,-0.7000,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mbtps2_31705,Mbtps2,169.128,6.47E-02,-0.5953,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mcam_61481,Mcam,132.620,7.44E-02,0.7355,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mcrip1_63863,Mcrip1,602.860,1.01E-02,0.6551,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mecom_63983,Mecom,418.338,1.48E-02,-0.7282,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mfap3l_57239,Mfap3l,269.059,1.47E-02,-0.8333,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mff_64404,Mff,728.846,8.83E-02,-0.7293,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mfge8_74284,Mfge8,177.140,6.24E-02,0.6833,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mia2_76792,Mia2,1196.209,3.03E-02,-0.5943,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mia3_77677,Mia3,166.286,4.97E-02,-0.6292,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Micalcl_68721,Micalcl,130.080,1.75E-02,-0.8617,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mindy1_70212,Mindy1,455.116,8.16E-02,-0.6374,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mmgt1_54844,Mmgt1,863.291,5.27E-02,-0.6103,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mrpl17_66615,Mrpl17,96.158,4.07E-02,0.7753,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,mt-Atp8_82082,mt-Atp8,3505.369,7.99E-02,-1.1066,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,mt-Cytb_31381,mt-Cytb,4629.457,3.59E-02,-1.1330,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,mt-Nd1_82075,mt-Nd1,2152.493,9.39E-02,-1.6381,Yes,Yes,Yes
Flaming Pine,Flaming Pine vs. Saline,4h,mt-Nd1_82076,mt-Nd1,1448.773,6.17E-02,-0.9563,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,mt-Nd2_82077,mt-Nd2,1564.990,3.60E-02,-1.0511,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,mt-Nd3_82088,mt-Nd3,1565.190,1.44E-02,-1.8010,Yes,Yes,Yes
Flaming Pine,Flaming Pine vs. Saline,4h,Mt2_76492,Mt2,678.262,5.03E-02,1.2306,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mtch2_68637,Mtch2,148.258,5.74E-02,0.6914,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Mtus1_80286,Mtus1,1825.347,5.61E-06,-1.1749,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Muc5b_58389,Muc5b,487.620,4.97E-02,-1.5901,Yes,Yes,Yes
Flaming Pine,Flaming Pine vs. Saline,4h,Nadk2_73467,Nadk2,211.824,7.93E-02,-0.8520,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Nbeal1_63407,Nbeal1,1085.614,3.59E-02,-0.7596,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ncf2_68723,Ncf2,144.138,6.13E-02,0.8445,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Nckap1_57651,Nckap1,693.531,4.01E-02,-0.8424,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Nde1_77231,Nde1,89.260,2.07E-02,1.2561,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ndufaf1_54702,Ndufaf1,469.754,3.09E-02,-0.8700,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Neo1_68359,Neo1,443.801,5.12E-02,-0.5986,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Nf2_73857,Nf2,53.523,8.83E-02,-0.6137,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Nhlrc3_58726,Nhlrc3,46.255,1.86E-02,-0.9240,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Nipsnap3b_56098,Nipsnap3b,225.406,3.55E-02,-0.7132,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Nkain4_74119,Nkain4,37.002,9.65E-02,-1.2858,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Nme1_31953,Nme1,164.766,3.20E-02,0.7478,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Nqo1_29503,Nqo1,316.361,8.78E-06,1.6025,Yes,Yes,Yes
Flaming Pine,Flaming Pine vs. Saline,4h,Nr3c2_60555,Nr3c2,63.881,8.14E-02,-0.8697,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Nup155_61176,Nup155,61.486,7.02E-02,-0.6497,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Nup98_65724,Nup98,577.168,5.75E-02,-0.6655,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Oxnad1_66699,Oxnad1,232.259,1.86E-02,-0.9880,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Paf1_72585,Paf1,196.194,3.09E-02,0.6084,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Paip2_67989,Paip2,1320.684,3.38E-02,-0.9059,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Papd4_77005,Papd4,143.705,6.24E-02,-0.7056,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Pcm1_65304,Pcm1,682.805,4.46E-02,-0.5876,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Pcsk7_57804,Pcsk7,149.590,1.79E-02,0.6627,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Pfkfb3_64529,Pfkfb3,48.599,9.60E-02,0.8183,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Pgm2_30214,Pgm2,96.582,2.17E-02,-1.1388,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Picalm_80276,Picalm,170.132,5.27E-02,-1.1288,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Pigr_58167,Pigr,129.039,7.15E-02,-1.4382,Yes,Yes,Yes
Flaming Pine,Flaming Pine vs. Saline,4h,Plaur_63645,Plaur,74.827,1.75E-02,1.1275,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Pld4_79679,Pld4,64.078,6.13E-02,-0.9074,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Plekhf2_54361,Plekhf2,165.499,6.12E-02,-0.6322,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Pls3_57065,Pls3,2246.709,7.45E-03,-0.5957,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Poc1b_56788,Poc1b,62.400,5.12E-02,-0.6001,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Polg_76808,Polg,59.796,7.16E-02,0.6562,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Polh_57461,Polh,66.853,8.83E-02,-0.7292,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Polr2a_57084,Polr2a,482.491,7.29E-05,-0.7787,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ppara_30567,Ppara,63.122,7.44E-02,-0.8196,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ppfibp1_75630,Ppfibp1,516.671,1.71E-02,0.7940,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ppig_79520,Ppig,79.064,3.92E-02,-0.9422,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ppil3_69810,Ppil3,49.122,5.65E-02,-1.0941,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ppp2r5c_63803,Ppp2r5c,107.497,4.48E-02,0.6746,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Ppp4r3b_76855,Ppp4r3b,96.776,6.87E-02,-0.6007,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Pqbp1_69857,Pqbp1,40.877,4.97E-02,0.9505,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Prpsap2_78836,Prpsap2,37.994,5.48E-02,-0.9623,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Psip1_67341,Psip1,177.012,9.85E-02,-0.6506,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Psme4_66005,Psme4,683.693,5.48E-02,-0.6026,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Pten_56755,Pten,593.957,9.13E-02,-0.6029,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Pttg1ip_76714,Pttg1ip,46.473,3.95E-02,0.9829,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Pxylp1_68467,Pxylp1,70.517,7.64E-02,-0.7026,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rab18_55536,Rab18,1758.795,4.97E-02,-0.6695,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rabl6_73963,Rabl6,193.958,1.10E-02,-0.6441,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rasl11a_78314,Rasl11a,171.872,6.24E-02,-0.9684,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rb1cc1_65517,Rb1cc1,288.209,4.01E-02,-0.8541,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rcbtb2_79094,Rcbtb2,39.374,5.60E-02,0.8631,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Retsat_60611,Retsat,258.105,3.82E-02,-0.9305,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rfesd_55124,Rfesd,216.428,4.97E-02,-0.6955,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rgma_63506,Rgma,227.917,5.12E-02,-0.8094,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rgs2_29422,Rgs2,108.239,9.89E-02,-0.7517,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rgs2_69434,Rgs2,878.086,8.56E-02,-0.6223,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rhof_64396,Rhof,48.048,3.96E-03,1.3205,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rictor_60390,Rictor,161.208,7.64E-02,-0.6866,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rif1_60095,Rif1,404.945,1.01E-02,-0.6620,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rmi1_56327,Rmi1,369.068,7.66E-03,-0.8920,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rnf128_71299,Rnf128,778.029,5.60E-02,-0.8114,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Rnf13_65480,Rnf13,1141.772,9.96E-02,-0.8980,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Scly_69863,Scly,64.427,5.12E-02,0.7562,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Selenot_65863,Selenot,257.852,2.16E-02,-1.8007,Yes,Yes,Yes
Flaming Pine,Flaming Pine vs. Saline,4h,Sema3d_60567,Sema3d,171.808,8.83E-02,-0.7202,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Senp6_74215,Senp6,310.896,9.78E-02,-0.6715,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Setdb2_66166,Setdb2,239.707,5.58E-02,-0.7725,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Sh2b3_72895,Sh2b3,95.227,3.59E-02,0.7440,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Skp1a_68997,Skp1a,413.685,2.99E-02,-0.9670,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Slc11a2_30661,Slc11a2,251.823,9.82E-02,-0.6318,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Slc16a7_78287,Slc16a7,48.275,8.83E-02,-0.7185,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Slc34a2_74194,Slc34a2,2116.712,1.75E-02,0.6428,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Slc37a3_63108,Slc37a3,140.397,4.44E-02,0.6181,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Slc9a3r1_31733,Slc9a3r1,1430.560,3.95E-02,-0.6776,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Slc9a7_79274,Slc9a7,48.494,7.11E-02,-0.6714,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Slco3a1_63917,Slco3a1,126.097,7.22E-03,0.9377,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Slf1_70206,Slf1,55.551,8.02E-02,-1.0282,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Slf1_71972,Slf1,176.199,5.99E-02,-1.1518,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Smarca5_70752,Smarca5,471.844,5.27E-02,-0.6019,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Smim12_60193,Smim12,84.043,3.44E-02,1.0979,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Snrpd1_63068,Snrpd1,38.661,8.01E-02,-1.3982,Yes,Yes,Yes
Flaming Pine,Flaming Pine vs. Saline,4h,Socs3_79479,Socs3,98.701,6.83E-02,0.8857,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Sort1_62170,Sort1,1880.249,8.81E-02,-0.6013,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Sox6_66994,Sox6,261.482,6.24E-02,-0.6315,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Spcs2_77232,Spcs2,45.405,7.83E-02,0.6863,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Sphk1_65839,Sphk1,81.270,7.64E-02,1.0110,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Spint1_30201,Spint1,439.275,3.40E-02,-0.7404,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Srgap2_79300,Srgap2,550.644,3.09E-02,-0.6422,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Srp54a_80612,Srp54a,184.702,8.83E-02,-0.9457,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Srrm1_66200,Srrm1,53.545,1.86E-02,-0.7910,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Stab1_67351,Stab1,79.746,6.38E-02,0.9160,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Stradb_71650,Stradb,190.292,4.90E-03,-0.8540,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Strbp_77149,Strbp,418.352,9.39E-02,-0.6218,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Stx11_69405,Stx11,251.438,8.73E-02,0.7319,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Stx17_70470,Stx17,60.092,2.52E-02,-1.0561,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Stx2_66385,Stx2,273.737,4.97E-02,-0.6479,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Taf2_59526,Taf2,297.216,4.97E-02,-0.6011,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Tbl1xr1_67830,Tbl1xr1,443.042,3.14E-02,-0.5977,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Tceal1_32191,Tceal1,184.556,6.23E-02,-0.7814,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Terf2_56545,Terf2,82.481,1.18E-02,-0.7118,Yes,No,No
Flaming Pine,Flaming Pine vs. Saline,4h,Tfdp2_75238,Tfdp2,92.402,4.57E-02,-1.0774,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Thap12_71676,Thap12,38.832,4.97E-02,-1.1428,Yes,Yes,No
Flaming Pine,Flaming Pine vs. Saline,4h,Thoc2_80770,Thoc2,66.317,7.04E-02,-0.9781,Yes,No,No
