Exposure_Condition,Group_Comparison,Timepoint,BioSpyder_Identifier,Gene_Symbol,Mean_Expression_Count,padj,log2FC,"Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 1.5
(i.e., log2FC of 0.5849)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2
(i.e., log2FC of 1)?","Does the Gene Meet Statistical Criteria of padj<0.10 and FC >= +/- 2.5
(i.e., log2FC of 1.3219)?"
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,A930004D18Rik_60101,A930004D18Rik,84.643,1.25E-02,-0.7973,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,AA415038_29464,AA415038,147.358,2.17E-03,-0.7737,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,AA986860_70183,AA986860,153.207,1.04E-02,0.5899,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Aasdh_32111,Aasdh,99.142,7.36E-03,-0.6757,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Aass_77318,Aass,18.634,9.89E-02,-1.0979,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Abca5_72705,Abca5,203.349,1.24E-02,-0.9136,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Abcb1a_29435,Abcb1a,269.634,1.05E-03,-1.2213,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Abcb1a_81969,Abcb1a,297.878,1.82E-02,-0.8872,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Abcb8_75787,Abcb8,16.610,2.07E-02,1.2982,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Abcd2_62271,Abcd2,52.999,1.84E-02,-1.2954,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Abhd10_72138,Abhd10,167.868,2.03E-02,-1.0657,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Abhd13_58962,Abhd13,220.439,3.09E-03,-0.8870,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Abhd18_78722,Abhd18,123.989,1.03E-02,-1.0212,Yes,Yes,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Abi3_74423,Abi3,23.781,6.81E-02,0.9093,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ablim2_67543,Ablim2,40.865,5.38E-02,0.8711,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ablim3_56880,Ablim3,113.254,4.61E-02,-0.6522,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ablim3_81978,Ablim3,211.772,3.43E-03,-0.8575,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Ablim3_81979,Ablim3,229.717,8.54E-02,-0.5873,Yes,No,No
Flaming Eucalyptus,Flaming Eucalyptus vs. Saline,4h,Acadl_59961,Acadl,5090.419,1.23E-02,-0.6666,Yes,No,No
